EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
2.7.1.17,1745,3821,2644,4043,4136,2128,986,1778,1137,1314,3335,2794,1193,819,2918,3008
2.7.1.170,0,0,25,0,0,0,12,0,0,0,11,23,0,0,0,23
2.7.1.176,5,30,4,12,19,66,0,115,9,0,506,20,16,1,71,115
2.7.1.2,1167,8315,1265,2564,3245,2045,1053,1291,1337,2600,5191,2189,2086,718,1546,4084
2.7.1.21,63,427,191,348,80,341,56,60,136,83,289,106,319,33,151,191
2.7.1.23,159,167,141,113,43,120,91,103,184,53,226,80,543,25,225,126
2.7.1.24,9,4,3,18,38,80,0,5,8,24,50,8,38,21,17,21
2.7.1.25,51,434,436,691,128,1483,22,114,11,617,99,565,32,25,16,19
2.7.1.26,24,76,44,18,81,90,29,86,16,5,30,14,40,139,614,923
2.7.1.28,52,31,73,3,0,46,21,0,15,9,49,64,64,13,3,47
2.7.1.29,52,31,73,3,0,46,21,0,15,9,49,64,64,13,3,47
2.7.1.30,5641,3519,5777,6493,11662,4373,6363,7199,9379,3455,7182,9147,13327,23441,10478,7221
2.7.1.31,0,106,52,71,30,17,20,24,56,107,399,78,155,23,39,31
2.7.1.33,29,235,92,53,845,106,877,548,65,83,1211,41,136,61,482,205
2.7.1.35,0,29,2,13,564,12,0,248,8,12,7,5,3,13,9,21
2.7.1.39,0,4,0,0,7,1,69,0,0,0,0,0,0,5,0,0
2.7.1.4,181,363,124,373,387,197,63,84,348,56,405,293,126,15,374,539
2.7.1.40,2145,5031,4407,2478,18010,4469,45665,13990,1288,2726,2671,7681,16212,6608,17537,5554
2.7.1.45,129,660,216,640,1916,425,2399,615,200,1176,1050,288,553,750,689,685
2.7.1.48,169,319,480,198,209,683,187,600,1398,181,428,2625,1617,23,808,193
2.7.1.49,131,147,107,282,17,76,201,83,303,443,1068,859,952,12,324,120
2.7.1.5,78,1114,47,693,239,253,112,98,384,940,2474,434,233,132,207,629
2.7.1.50,26,39,44,56,3,10,110,24,20,0,3,17,17,1,6,13
2.7.1.52,17,98,15,27,361,116,8,42,862,1703,889,156,1214,429,455,1163
2.7.1.56,0,1,0,0,11,1,0,0,0,5,0,38,11,0,9,0
2.7.1.6,894,8258,1619,3096,1929,8218,25820,2457,709,2059,5848,2813,6472,1006,1724,2299
2.7.1.63,0,5,0,0,27,0,224,65,0,0,0,0,12,24,6,0
2.7.1.68,0,22,4,27,9,18,5,6,1,11,3,3,5,2,3,2
2.7.1.69,5747,18517,7926,30916,1993,35972,41555,52440,42409,37051,51139,51933,25960,14231,23077,73561
2.7.1.71,36,114,46,253,35,81,97,101,56,35,63,37,19,13,28,55
2.7.1.76,41,495,22,88,0,0,0,0,191,98,86,418,401,0,0,23
2.7.1.90,371,1980,620,549,7007,1230,5982,6805,556,746,1715,1564,10318,10822,5477,1836
2.7.1.92,113,678,123,179,186,197,33,73,92,7,108,262,187,23,126,437
2.7.10.-,121,1954,39,513,149,1424,217,145,82,210,434,117,490,14,109,271
2.7.11.-,722,1468,1752,1170,410,398,1480,1451,290,418,593,2936,19636,227539,47749,1045
2.7.11.1,674,737,2803,2070,1008,1655,2356,2064,2284,1617,2284,2392,1279,96,1444,3288
2.7.13.3,32576,86608,35166,49756,21813,54123,40210,51717,21519,22828,34207,39305,43666,6493,40633,62348
2.7.2.1,4124,7178,7520,6324,3101,17224,7576,8668,5454,3026,8337,8177,5771,1982,7748,12508
2.7.2.11,215,97,375,179,2517,295,809,1576,194,135,319,238,213,522,806,599
2.7.2.2,837,522,625,256,709,3301,2282,1317,4684,206,9986,2382,822,448,592,698
2.7.2.3,6638,14003,17656,17849,18345,13258,16236,25215,17185,7034,16420,10364,12584,3317,29762,16586
2.7.2.4,1690,5340,6652,2695,4211,4506,3162,4163,3054,6258,4084,3035,2496,28550,5016,8320
2.7.2.7,43,46,338,184,7,419,100,150,14,71,145,235,159,23,112,476
2.7.2.8,352,460,995,392,500,299,707,2215,650,206,868,531,272,181,414,1846
2.7.3.-,0,2,0,0,0,49,34,14,0,0,0,0,0,0,0,0
2.7.3.9,2856,7013,4682,9940,1885,1922,8169,5635,3969,2181,7328,7232,12250,1297,13063,4513
2.7.4.-,679,1264,1671,1127,212,369,1381,1340,268,105,487,704,1040,85,377,223
2.7.4.1,878,1793,1004,1234,538,1364,1870,1825,1662,1775,2686,1264,2116,1226,2725,3407
2.7.4.16,464,5105,3093,1894,2095,4432,2840,3748,492,1708,1618,1303,1652,852,628,4824
2.7.4.22,2423,5395,4615,7032,3025,4025,5396,3952,1952,1867,3482,2866,8447,17112,13204,4122
2.7.4.25,89,332,272,328,151,150,156,212,220,137,196,290,483,84,131,471
2.7.4.3,1287,3045,8390,2895,3431,8258,4873,3196,3100,2609,7725,5170,3716,368,2546,6048
2.7.4.6,77,8,34,98,56,266,116,45,60,88,174,23,177,57,53,256
2.7.4.7,131,147,107,282,17,76,201,83,303,443,1068,859,952,12,324,120
2.7.4.8,438,610,1160,273,241,119,248,253,696,125,820,200,204,40,343,365
2.7.4.9,11,56,196,92,29,33,82,54,17,23,27,30,12,44,75,103
2.7.6.1,1901,6973,6016,6053,7865,10499,12770,10028,5685,3519,10634,7213,12123,15671,13760,11375
2.7.6.3,1,14,0,59,1,14,14,15,1,7,10,39,9,5,9,68
2.7.6.5,2984,16958,21181,20708,5918,6946,10340,19512,4074,13773,7741,5487,6505,93118,25905,18530
2.7.7.-,819,1219,1393,1414,363,2822,1187,906,610,1539,7331,1224,2333,220,1184,5842
2.7.7.12,652,1261,1597,2144,661,2564,3400,3438,2121,2065,3191,2845,2863,235,2448,3415
2.7.7.13,295,5677,300,982,371,2874,299,290,249,1154,1181,453,2169,217,671,1679
2.7.7.18,161,57,213,90,14,44,59,93,606,35,71,220,29,29,118,328
2.7.7.2,24,127,44,18,81,104,37,87,16,5,30,14,40,139,614,923
2.7.7.23,209,162,304,134,303,252,91,231,280,103,176,346,2358,8,1483,284
2.7.7.24,630,2924,1133,1709,3795,3053,690,886,1091,996,3074,1710,34423,100853,19153,1671
2.7.7.27,21671,44755,25044,57714,5980,26528,29754,26886,31386,19400,53921,36646,18911,5091,27162,45279
2.7.7.3,78,133,437,188,102,382,617,797,30,91,101,411,244,27,116,162
2.7.7.30,3,21,1,1,0,44,3,19,6,2,80,22,435,1,11,14
2.7.7.33,180,5949,2119,5539,76,143,140,116,625,132,2057,2395,753,4,385,916
2.7.7.38,145,411,107,110,105,345,98,715,49,232,266,52,54,25,520,365
2.7.7.39,0,15,19,0,10,27,24,281,6,3,15,1,0,0,61,21
2.7.7.4,426,1397,1026,1968,544,5255,6403,5261,2893,3660,6111,3445,2255,754,5800,9926
2.7.7.41,25,14,143,54,29,75,128,141,35,130,25,135,176,341,537,185
2.7.7.42,0,3,0,0,53,0,33,63,0,0,0,0,4,0,1,1
2.7.7.43,0,282,3,22,0,0,0,0,0,25,0,35,40,0,4,0
2.7.7.49,306,217,1573,374,4182,476,1540,983,207,284,531,46693,1437,972,31511,3312
2.7.7.53,84,83,25,84,0,6,0,51,1,1,5,16,19,11,314,94
2.7.7.56,54,95,181,392,22,42,86,49,42,17,10,180,25,2,104,62
2.7.7.6,29300,99693,81510,59392,100573,156800,115569,103325,53665,58797,104024,78318,134100,202691,99351,87414
2.7.7.60,51,75,140,3279,40,116,18,292,240,361,91,322,134,28,334,628
2.7.7.63,26,29,255,61,561,110,138,374,21,57,104,100,75,1,391,160
2.7.7.65,35,0,0,0,0,67,55,49,0,0,0,0,40,0,0,0
2.7.7.7,5148,22589,9824,14211,19931,27202,11899,17730,7114,14245,18538,9670,18688,3176,10877,28796
2.7.7.70,0,38,0,0,0,12,5,4,0,0,0,0,0,0,0,0
2.7.7.72,94,1628,279,465,4075,1312,268,523,146,373,940,199,771,80,278,1643
2.7.7.75,9,0,21,1,0,0,16,14,129,4,24,102,8,2,56,1
2.7.7.8,8678,34154,18678,14935,23182,37945,18423,22717,9924,12739,19935,13936,17677,4616,16696,35328
2.7.7.80,7,12,9,0,0,68,177,7,9,0,3,0,10,1,1,0
2.7.7.81,0,0,0,0,0,0,0,0,0,7,22,6,0,0,11,0
2.7.7.83,5,14,30,33,0,18,12,0,9,0,0,0,0,0,92,81
2.7.7.85,12,27,32,395,4,41,2,6,50,7,123,15,1,36,22,8
2.7.7.87,526,1196,601,1056,64,677,229,533,193,439,419,369,371,44,611,1059
2.7.7.9,753,296,1289,826,409,289,723,1663,347,80,216,995,4322,2770,2335,872
2.7.7.n1,11,747,168,301,128,335,49,76,109,94,468,190,1291,39,45,301
2.7.8.-,306,908,955,459,3181,628,330,1827,377,656,848,471,331,84,305,1588
2.7.8.13,222,498,563,584,558,500,7565,1909,414,189,723,349,1997,868,559,588
2.7.8.14,0,1,1,4,18,338,1,244,299,351,367,357,81,0,219,368
2.7.8.31,90,272,1586,376,2472,419,3210,3439,616,546,665,538,403,306,752,590
2.7.8.33,254,70,202,153,111,92,230,190,177,398,396,232,212,37,261,539
2.7.8.36,3,6,1,70,0,16,0,1,0,20,0,29,0,3567,811,0
2.7.8.40,1,1424,8,363,16,348,337,178,174,385,82,31,1084,9,1437,926
2.7.8.5,122,162,447,663,412,1050,2221,1035,818,1666,1263,363,561,19,1044,1317
2.7.8.8,15,11,77,99,11,44,20,155,2,24,64,13,5,14,45,60
2.7.9.1,21169,63628,41621,54813,37037,61997,42736,30965,35977,21558,81654,45891,49705,9647,29633,42576
2.7.9.2,260,333,265,328,45,474,174,1098,893,1717,2512,1075,2124,126,1469,386
2.7.9.3,179,241,278,181,7,71,51,75,156,23,56,166,48,2,176,33
2.8.1.-,311,2633,412,1547,341,3873,998,1229,830,1034,1063,271,825,188,947,694
2.8.1.10,50,864,84,48,167,77,223,67,70,115,369,18,498,18,74,5736
2.8.1.11,7,12,9,0,0,68,177,7,9,0,3,0,10,1,1,0
2.8.1.4,271,800,1405,1781,2209,2032,13950,21582,579,1104,1064,1346,7285,785,2054,4842
2.8.1.6,18,360,117,90,35,467,122,40,256,19,613,276,75,3,9,154
2.8.1.7,970,4173,2900,1905,1975,2125,5523,2711,1030,746,3465,948,6161,732,1598,2402
2.8.1.8,84,118,85,172,130,431,126,77,62,218,58,77,754,58,79,434
2.8.2.22,42,465,137,408,2,154,129,131,11,5,16,1014,39,0,388,551
2.8.3.-,4598,8534,10316,14786,5463,4189,3631,3536,5370,3392,9328,8136,6014,946,4593,6106
2.8.3.10,244,825,247,938,28,486,151,229,416,181,286,778,402,26,739,212
2.8.3.12,766,1293,482,2910,98,360,222,460,919,376,690,593,1289,243,555,447
2.8.3.13,1,2,0,1,6,0,0,1,0,0,0,7,0,0,0,7
2.8.3.16,1093,2499,886,456,34530,1536,12111,15354,378,1949,277,476,990,1486,1562,2072
2.8.3.5,708,47,932,522,59,490,970,905,508,156,970,1114,355,31,517,485
2.8.3.6,101,1,1,28,0,0,12,23,19,0,0,0,41,0,89,0
2.8.3.8,1357,3618,2260,2316,26,237,129,678,345,118,960,663,301,201,496,360
2.8.3.9,6,58,37,518,0,72,1,7,32,4,34,4,24,0,0,0
2.9.1.1,69,30,96,21,2,83,41,165,59,28,82,78,81,3,253,162
3.-.-.-,1335,2980,5220,3672,1801,6418,4270,2861,7897,2513,7815,5345,4442,291,1795,3108
3.1.-.-,12839,36280,26782,25849,28189,60702,42527,42771,18070,18508,34237,73343,40625,8342,55347,40169
3.1.1.-,693,2537,307,2729,635,2674,252,506,380,393,1269,467,360,226,854,1499
3.1.1.1,3,29,2,5,6,20,8,6,12,5,26,31,3,2,10,7
3.1.1.11,2,82,0,13,6,56,3,1,7,48,52,9,30,7,7,22
3.1.1.29,28,262,188,204,134,2412,180,702,136,179,140,470,169,142,74,121
3.1.1.31,39,63,227,139,350,176,33,52,0,57,102,36,23,0,11,21
3.1.1.47,6,55,4,3,8,21,4,8,0,3,17,3,10,16,38,92
3.1.1.5,15,94,48,16,22,144,28,29,9,54,349,88,123,103,174,582
3.1.1.53,5,153,3,14,3,71,5,5,22,180,238,14,61,34,39,104
3.1.1.61,1453,1829,2105,2583,250,1232,1259,1927,4927,379,3134,2869,1801,131,4432,1722
3.1.1.72,12,88,14,133,434,68,15,28,52,208,1033,5794,498,60,188,1331
3.1.1.73,19,100,17,64,145,160,16,14,42,217,464,28,85,18,89,168
3.1.1.87,605,816,405,1013,0,0,0,0,0,0,0,0,8,0,91,22
3.1.11.2,641,437,751,611,644,2036,1052,1549,509,758,676,950,292,97,534,946
3.1.11.5,3,6,12,1,0,2,3,1,17,55,47,11,4,1,13,25
3.1.11.6,397,1569,1522,1181,59,523,625,420,355,202,1107,291,458,61,437,1238
3.1.13.1,2068,14220,40833,6158,9549,10183,2176,20597,1702,9707,7617,2207,7784,1487,4765,11190
3.1.2.-,56,235,80,246,14,10,16,34,156,181,398,177,193,70,85,110
3.1.2.30,0,38,0,301,0,0,0,0,30,0,115,0,27,0,0,0
3.1.21.-,263,800,254,809,30,225,657,494,43,109,355,327,253,40,190,298
3.1.21.2,290,372,261,284,475,566,214,510,287,168,571,403,228,106,490,946
3.1.21.3,332,1855,731,1037,506,4307,590,576,612,1214,3016,824,1477,110,434,1199
3.1.21.4,113,117,119,329,24,47,381,90,81,55,440,99,441,18,17,32
3.1.21.5,163,1248,331,328,21,767,245,421,221,431,219,825,272,41,183,579
3.1.21.7,0,0,9,9,0,0,0,7,1,7,179,8,9,1,5,8
3.1.22.-,20,66,82,27,24,115,145,86,135,55,291,44,58,2,60,226
3.1.22.4,50,48,104,39,442,73,102,118,76,96,69,98,217,13,82,172
3.1.26.-,325,1922,1322,758,2820,2609,841,2116,195,849,1386,509,1076,338,973,4383
3.1.26.11,590,319,1242,579,118,430,1197,892,399,697,1230,365,290,119,381,557
3.1.26.12,12,10,9,9,16,54,2,32,107,245,312,179,263,3,43,39
3.1.26.3,235,464,804,294,95,103,269,280,69,122,150,504,107,27,241,149
3.1.26.4,7759,417,18603,7375,99,19562,19906,14625,1224,4899,4104,3517,237,4696,9677,19711
3.1.26.5,76,27,56,93,86,68,101,151,160,322,286,108,146,6,71,25
3.1.26.8,0,0,1,0,7,1,0,0,0,0,0,11,0,0,12,0
3.1.3.-,10754,44565,2969,18214,2113,19905,13936,24618,894,1066,2294,6432,18523,489,18590,24634
3.1.3.1,131,492,188,176,117,548,261,109,116,275,846,175,158,105,230,610
3.1.3.10,0,0,315,0,27,26,0,0,0,0,0,0,0,0,0,0
3.1.3.11,969,1617,942,1396,1153,1890,1838,8489,517,598,832,714,594,89,1328,1035
3.1.3.15,5,58,7,22,1072,96,226,648,17,76,31,36,87,30,43,107
3.1.3.16,55,76,81,15,12,7,58,28,21,11,67,38,35,11,63,183
3.1.3.18,37,5337,906,106,96,3260,79,38,31,60,97,54,69,11,35,135
3.1.3.2,0,6,0,0,150,37,0,0,0,0,0,0,0,0,0,0
3.1.3.23,0,65,0,0,0,0,0,11,113,7,3,85,1451,650,42,47
3.1.3.25,82,73,125,24,119,83,18,40,53,37,102,138,9,25,66,30
3.1.3.3,65,1366,347,468,288,809,64,94,109,478,335,525,762,94,125,1717
3.1.3.45,114,430,20,28,11,32,24,6,19,39,82,33,163,40,89,200
3.1.3.48,103,105,140,245,245,58,1364,942,92,43,141,193,317,18,107,194
3.1.3.5,544,383,421,519,408,963,906,499,677,391,1460,2955,850,819,1142,1143
3.1.3.6,202,91,106,262,359,89,657,95,341,178,1228,1938,711,22,165,239
3.1.3.68,0,13,0,1,0,8,2,3,0,2,4,0,4,3,32,60
3.1.3.7,1760,610,3442,477,1192,4101,2863,2569,96,482,402,220,1357,290,1843,4885
3.1.3.89,20,50,141,31,9,15,22,21,47,22,13,56,7,2,20,36
3.1.3.n6,0,0,1,0,16,0,0,0,0,0,13,0,0,0,160,89
3.1.30.-,4,214,1,3,2,2,3,4,1,1,7,0,2,11,12,66
3.1.30.1,0,0,42,0,0,121,12,22,8,0,53,36,53,0,24,49
3.1.4.-,402,1790,558,906,543,883,433,488,180,428,876,855,846,78,573,2012
3.1.4.1,4,239,3,67,11,108,6,16,5,45,143,23,688,16,311,1108
3.1.4.16,202,91,106,262,359,89,657,95,341,178,1228,1938,711,22,165,239
3.1.4.52,834,2216,1962,2219,438,1982,3832,1418,1625,1115,3623,2186,1436,69,1326,1409
3.1.6.-,65,1160,145,569,97,3173,252,180,148,473,1011,253,895,107,144,328
3.1.6.1,52,1119,88,305,24,947,75,39,54,421,910,217,604,140,116,741
3.1.6.12,11,11,1,0,2,12,10,8,1,74,15,2,14,10,19,35
3.1.6.2,49,70,23,178,6,50,2,7,45,85,467,123,100,39,84,233
3.1.6.4,276,1289,629,1203,47,1247,63,39,103,607,765,202,564,34,42,145
3.1.6.6,13,31,7,15,20,19,0,0,1,10,105,71,58,11,4,9
3.1.6.8,143,47,254,81,8,82,35,65,60,69,496,423,23,105,74,165
3.1.7.2,497,5852,604,445,709,2633,508,448,305,541,1203,433,1115,226,391,1949
3.11.1.1,4,0,28,0,327,0,70,165,0,0,0,0,0,0,4,22
3.13.1.1,1,0,0,0,0,0,0,0,68,217,708,723,183,0,0,0
3.2.-.-,384,1713,1237,2791,101,226,302,315,351,514,683,544,2466,31,944,886
3.2.1.-,1302,21180,2388,3537,2206,14131,2011,3348,496,1984,8184,2649,6170,1171,1255,4724
3.2.1.1,556,16228,1818,5270,1869,10522,2226,1332,2228,2494,982,1360,6847,15514,2155,3269
3.2.1.10,435,3875,9070,10457,507,3569,3247,2883,2338,639,3308,6266,1452,481,740,1171
3.2.1.122,409,1435,859,861,0,2720,329,787,455,201,272,632,428,33,276,1839
3.2.1.131,3,989,12,244,98,1296,24,14,12,139,669,444,137,3,28,49
3.2.1.133,211,81,226,287,63,120,474,477,822,459,665,555,221,61,498,702
3.2.1.135,110,826,426,1508,7310,992,717,1200,201,286,745,328,503,110,476,1194
3.2.1.136,163,34,0,120,115,7,0,0,0,0,0,0,0,0,0,0
3.2.1.141,0,0,0,0,0,0,0,0,0,26,23,0,0,0,0,5
3.2.1.15,16,125,1,23,11,151,6,3,35,44,43,89,143,21,36,98
3.2.1.152,14,4161,14,8,13,521,9,14,0,0,0,0,0,1,0,1
3.2.1.167,1,17,2,1,1,199,9,14,5,19,24,71,10,0,2,20
3.2.1.169,629,9276,506,3252,1,6248,95,142,4,574,2764,568,4096,502,113,2007
3.2.1.17,83,7,11,94,0,96,29,119,106,0,157,134,92,0,145,512
3.2.1.170,25,731,263,548,0,5,0,1,521,70,2133,384,597,34,79,205
3.2.1.172,9,26,0,2,3,197,1,0,25,72,75,104,32,6,33,56
3.2.1.177,194,804,181,433,171,3694,714,1439,347,180,857,306,601,224,358,345
3.2.1.18,9,548,7,96,10,412,92,18,58,510,223,146,195,58,64,245
3.2.1.180,46,188,141,154,2180,735,73,106,56,40,100,118,54,6,229,59
3.2.1.184,0,0,62,322,0,0,12,0,0,0,0,0,0,0,0,0
3.2.1.185,55,28,238,78,41,74,90,294,126,90,303,230,79,3,258,59
3.2.1.20,93,302,596,415,8031,369,1251,716,197,215,432,551,322,172,795,1272
3.2.1.21,1157,20209,5651,5245,1035,15261,1326,1482,1468,6104,12362,2313,8412,252,2655,10569
3.2.1.22,1258,6657,3253,3801,5833,7304,2890,3589,849,2766,4008,2589,3852,3678,3219,4374
3.2.1.23,3414,12845,4952,7599,4193,21400,22119,8914,2812,7032,13497,5328,7814,7564,5712,12361
3.2.1.24,678,1002,1504,3097,102,3793,1916,200,827,495,8896,1939,986,108,187,337
3.2.1.25,175,428,158,146,71,520,251,225,174,223,2272,262,567,387,269,483
3.2.1.26,100,256,202,102,28,308,249,620,115,29,305,120,316,1563,627,153
3.2.1.3,107,1152,92,385,268,471,807,463,166,346,515,309,276,1104,75,402
3.2.1.31,410,394,336,475,224,246,263,201,42,342,249,180,809,134,396,1189
3.2.1.35,0,18,173,727,0,22,167,229,0,0,24,398,0,0,0,0
3.2.1.37,737,1307,331,489,744,2188,3742,654,246,571,862,179,456,106,333,349
3.2.1.38,0,1,0,0,1,0,124,60,30,37,0,0,1,105,13,8
3.2.1.4,81,4,676,153,0,1,38,69,112,205,8,178,46,23,265,245
3.2.1.41,300,1081,588,550,1780,309,1699,2581,1958,6302,3252,577,880,312,576,6498
3.2.1.48,29,2377,6814,7811,3,1831,1810,1175,1183,213,1538,3792,457,265,13,41
3.2.1.50,9,448,95,255,234,26,55,55,9,70,212,47,36,9,23,24
3.2.1.51,626,12303,1711,5280,451,5336,910,1248,606,1436,4196,1685,5934,1208,1064,3429
3.2.1.52,819,16668,1254,5781,2623,7417,957,2436,1464,3658,6991,2910,8430,1412,1295,6139
3.2.1.54,336,505,2882,2085,1079,4415,6448,4461,4432,3520,5700,4423,2802,131,3163,8142
3.2.1.55,1002,1947,762,1202,4881,3294,365,782,509,1031,1890,746,1205,206,958,1371
3.2.1.67,0,0,0,7,8,5,0,4,0,0,0,0,0,0,0,0
3.2.1.68,1607,2938,1521,1872,1012,2628,3305,2389,4131,5585,5959,7010,3304,168,4333,10265
3.2.1.70,2,1,3,7,1,52,33,18,2,18,13,64,7,2,33,0
3.2.1.73,1,24,1,6,1,28,1,1,1,6,6,0,3,3,6,34
3.2.1.75,22,182,19,74,59,232,11,29,15,54,63,13,56,12,41,1222
3.2.1.78,51,2484,41,232,6,2703,26,71,1,0,21,73,4,0,7,31
